num_doc,nombre,mnt_total_trx_barrio,mnt_total_trx_cliente,%_cada_barrio
-100445302626552670,Unicentro Cali,2696.0,2696.0,100.0
-1004769336747862315,Urbanización La Flora,418.0,418.0,100.0
-1006371309257548646,Unicentro Cali,414.5,414.5,100.0
-1009950503667478931,Unidad Residencial Santiago de Cali,552211796.5,552211796.5,100.0
-1027836485982139155,Calimio Desepaz,1331218011.0,1331307683.5,99.993
-1028701512633682059,Chipichape,7146065.0,7193275.0,99.344
-1029939162610530372,Barrio Obrero,15487390.0,15508947.5,99.861
-1032969968016294824,El Calvario,401.5,401.5,100.0
-1033680614462903580,Barrio Eucarístico,1358.0,1358.0,100.0
-1034378789332264180,Primero de Mayo,7110767.5,12599625.5,56.436
-103552424250214786,Primero de Mayo,20451907.5,34539394.5,59.213
-1035620103817956129,San Pedro,210.0,210.0,100.0
-1042147156262232913,Acueducto San Antonio,6884350.0,6884350.0,100.0
-104348066621220828,Chipichape,3654.0,3654.0,100.0
-1044430822051097998,La Merced,2152241830.0,4115546358.5,52.295
-1046220675173207673,Unicentro Cali,578.5,578.5,100.0
-1047151624746107243,Ville Grande,26604926811.5,27142185404.5,98.021
-1048278717115563559,Versalles,13541800.0,13542650.5,99.994
-1048941131780598005,Las Delicias,659707365.0,667228898.0,98.873
-1049811170671529203,Caldas,7850.0,7850.0,100.0
-1052161734785677105,Unicentro Cali,552210531.5,552244005.0,99.994
-1054660628376891437,El Gran Limonar,355.0,355.0,100.0
-1055028083282271977,Unicentro Cali,3313314304.0,4689236107.0,70.658
-1059477082954021116,Municipal,4358553732.5,4363975749.0,99.876
-1059790981306370284,Calima,1681827460.5,1694549030.0,99.249
-1063297464531498350,Chipichape,964.0,964.0,100.0
-1066535309347395500,Colseguros Andes,2434080442.5,4119022982.0,59.094
-1069467320635063188,Sucre,538060458.0,557502353.5,96.513
-1075397605526031925,Ciudad Córdoba,12424139.0,12468645.0,99.643
-1080665564328271894,Urbanización Río Lili,358.0,358.0,100.0
-1084013657251915016,San Pedro,406.0,406.0,100.0
-1087871800637145727,Área Libre-Parque del Amor,6787535.5,6787535.5,100.0
-1090886955058360018,Unicentro Cali,777408985.0,783600932.5,99.21
-1092478331704747888,Paseo del Comercio,11194727638.0,11205587150.5,99.903
-1093529980275586060,El Prado,10712255.0,10712255.0,100.0
-1095683572917424425,Santander,2503.0,2503.0,100.0
-109591158799621998,El Gran Limonar,693866928.0,1140617012.0,60.833
-1097819716607912234,Unicentro Cali,56243.5,56243.5,100.0
-1098306024190830573,Urbanización San Juaquín,576109794.5,833338484.5,69.133
-1102336114906026246,Granada,13896956.0,13896956.0,100.0
-1103959061918576214,Sucre,407.5,407.5,100.0
-1110043953998773316,Santa Mónica Residencial,42310.0,64444.5,65.653
-1110678346921576262,El Limonar,11359042366.0,17692508250.0,64.203
-112035649570535663,Sucre,538060458.0,610742170.0,88.099
-1121599015449907956,Los Guaduales,7803725.0,7823205.5,99.751
-1123145728037111644,La Alianza,3721748451.0,3776506257.0,98.55
-1125418875426583361,San Nicolás,666287442.5,868852050.5,76.686
-1125824737140772532,Flora Industrial,7528213.5,7530071.5,99.975
-1128828461872058860,Unicentro Cali,414.5,414.5,100.0
-1129720928903010630,Guayaquil,1068.0,1068.0,100.0
-1129977966570911989,Urbanización Ciudad Jardín,31008417.0,52819657.5,58.706
-1133030737924350700,Sucre,815.0,815.0,100.0
-1135807265572490368,La Merced,2690302287.5,2715831400.5,99.06
-1135885042438774737,Ulpiano Lloreda,911711483.0,911711483.0,100.0
-1137664052513137949,Julio Rincón,12272.0,17306.0,70.912
-1137864485794075173,La Flora,367.5,367.5,100.0
-113918032033272919,Los Guaduales,18956873605.5,31901504383.0,59.423
-1139496648756108443,El Calvario,3613.5,3613.5,100.0
-1139630553183943130,San Vicente,8882.0,8882.0,100.0
-1140740696953241368,Chipichape,406.0,538.5,75.395
-1141350892115431783,Urbanización San Juaquín,1188.0,1188.0,100.0
-1145599271250714953,San Pedro,1016613330.0,1016613330.0,100.0
-1152476129235420344,San Vicente,7270413.5,12438483.0,58.451
-1152786807521821919,San Vicente,7270413.5,12438483.0,58.451
-1154601056621874115,Urbanización San Juaquín,2392.0,2392.0,100.0
-1155262556757547212,San Pedro,1628144381.0,2984726495.0,54.549
-1157532687779473233,Los Guayacanes,811360159.0,811360159.0,100.0
-1157740685087189187,Pampalinda,1197913016.0,1836405863.0,65.231
-1160486719083601704,Los Guaduales,5159202093.5,8109173959.5,63.622
-1160842786727626489,Villa del Prado-El Guabito,29494705.5,35793860.5,82.402
-1163328713701816826,San Pedro,752.0,752.0,100.0
-1166040976048401751,Urbanización Militar,560609154.0,560609154.0,100.0
-1166097479739615485,El Cedro,411.5,714.0,57.633
-1169337271221000084,Unicentro Cali,2761057871.0,2761066692.5,100.0
-1170946758474099030,Santa Mónica Residencial,10327682.0,16884333.5,61.167
-1172187320301994198,La Merced,1076120915.0,1090757760.0,98.658
-1172507930123192002,Lili,132.5,132.5,100.0
-1173260871307354234,San Nicolás,31.0,31.0,100.0
-117559229803847592,Urbanización San Juaquín,605.0,960.0,63.021
-1177715941186223455,Urbanización Militar,1121222434.5,1154110106.0,97.15
-1178326127937027758,El Gran Limonar,552212152.0,552265109.5,99.99
-1179944887016215688,Villa del Prado-El Guabito,5896375.5,6017715.5,97.984
-1180570698575201160,Urbanización Militar,808.0,808.0,100.0
-1183486238995105200,Sucre,5380604580.0,6493382748.5,82.863
-1185835412731987308,Laureano Gómez,3300333060.0,3300333060.0,100.0
-1189133027467809501,Calima,4484873228.0,4491609259.5,99.85
-1190019768225592711,Chapinero,102.5,102.5,100.0
-1190738184988289400,San Pedro,376.0,376.0,100.0
-1190955493776293469,Canaverales Los Samanes,6188498.0,6226684.0,99.387
-1195681535079346830,Nueva Floresta del Ict,5087461869.0,8961368768.5,56.771
-1197762154015410372,Urbanización San Juaquín,5468782.0,5468782.0,100.0
-1197961349927944633,San Vicente,1037963637.5,1656085262.0,62.676
-1198373221447700969,San Vicente,7270413.5,7273343.5,99.96
-1200341737221228014,San Vicente,7270413.5,7270413.5,100.0
-1200920050635924741,Ville Grande,17093704.5,17153900.0,99.649
-1201057724310817378,Chipichape,406.0,406.0,100.0
-1201941384375447546,Junin,11585988998.5,14562161897.5,79.562
-1206333553786978046,Santander,30.5,30.5,100.0
-1206674444792420118,El Troncal,4035.5,4035.5,100.0
-1206962168732039629,San Pedro,5161796.0,5192611.5,99.407
-1207819010674904992,Chipichape,13712470.5,13712470.5,100.0
-1207878181722243272,Urbanización San Juaquín,302.5,302.5,100.0
-1210345886228898012,San Pedro,376.0,376.0,100.0
-1213681535772037353,Canaveralejo-Seguros Patria,3507643546.0,6301506541.5,55.664
-1214257507105741772,Prados del Norte,5859.0,5859.0,100.0
-1217006106881107698,Junin,963963397.0,1519619344.5,63.435
-1220325970169317455,3 de Julio,4656470776.0,5478162246.5,85.001
-1221596303299577938,San Fernando Viejo,2845.5,3592.5,79.207
-1225917536743575794,Alfonso López I,40629582.0,40629582.0,100.0
-1228517691648972981,San Nicolás,527.0,527.0,100.0
-1228680805630020743,Urbanización La Flora,3762.0,3762.0,100.0
